"","x"
"1",13
"2",67
"3",3.5
"4",7.5
"5",83.5
"6",67
"7",12
"8",75.5
"9",75.5
"10",35
"11",2
"12",3.5
"13",69
"14",70
"15",80
"16",67
"17",10.5
"18",85.5
"19",16.5
"20",74
"21",24
"22",77.5
"23",16.5
"24",53
"25",35
"26",24
"27",35
"28",53
"29",53
"30",53
"31",81.5
"32",24
"33",24
"34",24
"35",53
"36",53
"37",53
"38",35
"39",53
"40",24
"41",53
"42",53
"43",53
"44",65
"45",6
"46",87
"47",71
"48",7.5
"49",9
"50",24
"51",16.5
"52",85.5
"53",53
"54",35
"55",24
"56",1
"57",10.5
"58",5
"59",79
"60",73
"61",83.5
"62",72
"63",35
"64",16.5
"65",53
"66",53
"67",24
"68",16.5
"69",35
"70",35
"71",77.5
"72",53
"73",16.5
"74",53
"75",53
"76",53
"77",35
"78",53
"79",35
"80",53
"81",53
"82",35
"83",81.5
"84",35
"85",35
"86",53
"87",53
