"","V1"
"GPbeta0",-2.55911171651241
"GPsigma2u",0.0151234514471811
"GPexpectation",0.0779607338841211
"GPvariance",0.0780533509265361
"GPvariance2",9.26170424150356e-05
"GPvariance1",0.0779607338841211
"GPvpc2",0.00118658637093245
"GPvpc1",0.998813413629068
