"","V1"
"OPbeta0",-2.80103396173242
"OPsigma2u",0.350743182227463
"OPexpectation",0.0723917909549816
"OPvariance",0.0745934732597719
"OPvariance2",0.00220168230479027
"OPvariance1",0.0723917909549816
"OPvpc2",0.0295157499520489
"OPvpc1",0.970484250047951
