"","summ"
"xb",-2.85737026795318
"OPexpectation",0.0680000001133201
"OPvariance",0.0680000001475867
"OPvariance2",3.42665811426216e-11
"OPvariance1",0.0680000001133201
"OPvpc2",3.80626710148676e-10
"OPvpc1",0.999999999619373
